"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 21:48:38 CEST 2024","Wed May 08 21:48:42 CEST 2024","3726","","Login tests","","","","""before all"" hook for Login tests",""
"skipped","Sat May 11 18:07:13 CEST 2024","Sat May 11 18:07:13 CEST 2024","1","","Login tests","","","","Check that user's email displayed after login with valid login/password",""
"skipped","Sun May 12 10:58:34 CEST 2024","Sun May 12 10:58:34 CEST 2024","4","","Validaion of Login functionality","","","","Check that user's email displayed after login with valid login/password",""
"passed","Sat May 11 17:16:37 CEST 2024","Sat May 11 17:16:38 CEST 2024","1143","","Login tests","","","","Check that user's email displayed after login with correct login/password",""
"passed","Wed May 15 20:20:09 CEST 2024","Wed May 15 20:20:15 CEST 2024","5652","","Validaion of product searching and adding to Wishlist","","","","Check that count of Wishlist is incresed after adding item",""
"passed","Fri May 17 17:50:16 CEST 2024","Fri May 17 17:50:17 CEST 2024","978","","Validaion of Registration functionality","","","","should return First name is required. error message is user left empty ,Wide,pass000,pass000 required field",""
"passed","Thu May 16 18:35:37 CEST 2024","Thu May 16 18:35:39 CEST 2024","2771","","Validaion of product searching and adding to Wishlist","","","","""before all"" hook for Validaion of product searching and adding to Wishlist",""
"passed","Sat May 11 18:07:13 CEST 2024","Sat May 11 18:07:18 CEST 2024","5147","","Login tests","","","","Check that error message aprrears if entered email has incorrect format",""
"passed","Thu May 16 15:06:28 CEST 2024","Thu May 16 15:06:35 CEST 2024","6507","","Validaion of product searching and adding to Wishlist","","","","Check that item can be moved to Shopping card from Wishlist",""
"skipped","Fri May 17 15:55:52 CEST 2024","Fri May 17 15:55:52 CEST 2024","1","","Validaion of product searching and adding to Wishlist","","","","Check that the product can be moved to Shopping card from Wishlist",""
"skipped","Mon May 13 17:29:25 CEST 2024","Mon May 13 17:29:25 CEST 2024","2","","Validaion of Login functionality","","","","Check that user's email displayed after login with valid login/password",""
"passed","Wed May 08 21:06:53 CEST 2024","Wed May 08 21:06:55 CEST 2024","2048","","Login tests","","","","""before all"" hook for Login tests",""
"passed","Wed May 08 21:43:50 CEST 2024","Wed May 08 21:43:56 CEST 2024","5203","","Login tests","","","","try to login with correct login and password",""
"skipped","Fri May 17 17:50:31 CEST 2024","Fri May 17 17:50:31 CEST 2024","3","","Validaion of product searching and adding to card","","","","Check that the purchase counter increases after adding items",""
"skipped","Mon May 13 17:29:25 CEST 2024","Mon May 13 17:29:25 CEST 2024","1","","Validaion of Login functionality","","","","Check that error message aprrears if entered email has incorrect format",""
"passed","Thu May 16 14:27:06 CEST 2024","Thu May 16 14:27:13 CEST 2024","6366","","Validaion of product searching and adding to Wishlist","","","","Check that items in Wishlist can be moved to Shopping card",""
"skipped","Sat May 11 18:07:13 CEST 2024","Sat May 11 18:07:13 CEST 2024","1","","Login tests","","","","Check that error message aprrears after login with invalid password",""
"skipped","Mon May 13 17:29:26 CEST 2024","Mon May 13 17:29:26 CEST 2024","1","","Validaion of product searching and adding to card","","","","Check that the purchase counter increases after adding items",""
"skipped","Fri May 17 17:50:02 CEST 2024","Fri May 17 17:50:02 CEST 2024","3","","Validaion of Login functionality","","","","Check that user's email displayed after login with valid login/password",""
"skipped","Wed May 15 08:39:34 CEST 2024","Wed May 15 08:39:34 CEST 2024","1","","Validaion of product searching and adding to card","","","","Check that the purchase counter increases after adding items",""
"skipped","Fri May 17 15:55:52 CEST 2024","Fri May 17 15:55:52 CEST 2024","1","","Validaion of product searching and adding to Wishlist","","","","Check that total price is changed correctly after updating quantity of products in Wishlist",""
"passed","Mon May 13 17:29:25 CEST 2024","Mon May 13 17:29:26 CEST 2024","1605","","Validaion of product searching and adding to card","","","","""before all"" hook for Validaion of product searching and adding to card",""
"skipped","Wed May 15 08:39:32 CEST 2024","Wed May 15 08:39:32 CEST 2024","2","","Validaion of Login functionality","","","","Check that error message aprrears after login with invalid password",""
"skipped","Sun May 12 10:58:35 CEST 2024","Sun May 12 10:58:35 CEST 2024","1","","Validaion of Login functionality","","","","Check that error message aprrears after login with invalid password",""
"failed","Fri May 17 17:20:25 CEST 2024","Fri May 17 17:20:26 CEST 2024","992","","Validaion of Registration functionality","","","","should return Last name is required error message is user left empty test,,123456,123456 required field",""
"passed","Thu May 16 13:59:22 CEST 2024","Thu May 16 13:59:27 CEST 2024","4647","","Validaion of product searching and adding to Wishlist","","","","Check that comman price of Wishlist is incresed after updating quantity of items",""
